timestamp,event_type,event_name,state,eeg_value
1764895269.543655,state_change,RUNNING,RUNNING,0.287
1764895269.578386,state_change,PAUSED,PAUSED,0.288
1764895269.6071424,state_change,RUNNING,RUNNING,0.292
1764895269.6333666,state_change,PAUSED,PAUSED,0.287
1764895269.6674678,state_change,RUNNING,RUNNING,0.285
1764895269.7037406,state_change,PAUSED,PAUSED,0.288
1764895269.7311854,state_change,RUNNING,RUNNING,0.293
1764895269.7610216,state_change,PAUSED,PAUSED,0.290
1764895269.8074114,state_change,RUNNING,RUNNING,0.282
1764895269.8533237,gesture,GESTURE_THUMBS_UP,PAUSED,0.275
1764895269.8533237,state_change,PAUSED,PAUSED,0.275
1764895269.899271,state_change,RUNNING,RUNNING,0.276
